# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:42:55 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8254;-1048;-2231;408;-31;-440
4464676;K;-8286;230;-1430;1;49;25
4464676;L;-8080;428;3611;-592;-639;-384
4464676;M;-8238;46;-684;220;-43;76
4464676;N;-8024;2002;-666;-24;41;-85
4464676;O;-7866;-1308;1754;93;-30;60
4473008;J;-8284;-2081;-2211;288;-79;-472
4473008;K;-8310;264;-1422;3;42;25
4473008;L;-8086;556;3689;-72;-291;-156
4473008;M;-8254;146;-706;216;-35;58
4473008;N;-8076;2004;-670;-44;42;-85
4473008;O;-7884;-1274;1828;72;-35;64
4481252;J;-8292;-986;-2267;222;-93;-130
4481252;K;-8302;298;-1442;1;39;22
4481252;L;-8150;504;3501;-132;-275;-144
4481252;M;-8218;92;-680;229;-11;58
4481252;N;-8050;1946;-698;-57;46;-93
4481252;O;-7832;-1284;1784;50;-29;72
4489496;J;-8260;-1054;-2541;648;-327;-584
4489496;K;-8229;575;-2795;5;66;36
4489496;L;-8122;492;3565;-262;-43;-152
4489496;M;-8190;70;-716;257;-3;62
4489496;N;-8012;1922;-856;-53;47;-90
4489496;O;-7850;-1250;1810;24;-30;80
4497828;J;-8248;-2157;-2405;448;-271;-312
4497828;K;-8364;258;-1480;10;28;5
4497828;L;-8190;548;3437;-322;-15;-168
4497828;M;-8210;38;-722;280;22;71
4497828;N;-8038;1926;-714;-52;39;-93
4497828;O;-7844;-1272;1758;13;-28;82
4505988;J;-8340;-1949;-2503;216;-51;-432
4505988;K;-8209;471;-2963;41;34;22
4505988;L;-8108;552;3473;-380;-3;-196
4505988;M;-8208;44;-696;324;28;88
4505988;N;-8122;1878;-750;-54;44;-92
4505988;O;-7792;-1212;1770;0;-30;91
4514232;J;-8308;-2049;-2643;56;-207;-464
4514232;K;-8408;276;-1472;34;-18;20
4514232;L;-8022;392;3569;-480;-83;-102
4514232;M;-8316;-58;-816;376;16;98
4514232;N;-8064;1920;-714;-50;47;-90
4514232;O;-7868;-1302;1760;-5;-29;104
4522392;J;-8226;-1038;-1224;-40;-235;-504
4522392;K;-8225;539;-3123;32;-114;38
4522392;L;-8004;424;3485;-492;-61;-124
4522392;M;-8382;-86;-874;415;-2;106
4522392;N;-8060;1808;-706;-49;45;-96
4522392;O;-7864;-1256;1848;-17;-26;102
4530636;J;-8272;-970;-2357;-176;-2143;-1696
4530636;K;-8296;419;-3167;68;-138;30
4530636;L;-8160;416;3457;-964;-91;-288
4530636;M;-8240;-124;-810;443;-15;98
4530636;N;-7998;1868;-874;-46;46;-93
4530636;O;-7838;-1222;1798;-27;-14;114
4538796;J;-8228;-1957;-2263;86;-335;-246
4538796;K;-8304;168;-1426;64;-76;29
4538796;L;-8080;616;3669;-534;-59;-188
4538796;M;-8184;-228;-850;470;5;97
4538796;N;-8098;1816;-808;-47;56;-97
4538796;O;-7846;-1214;1858;-36;-6;120
4547128;J;-8404;-1857;-2147;68;-461;-242
4547128;K;-8344;162;-1438;52;-77;49
4547128;L;-8114;720;3537;-576;-23;-952
4547128;M;-8212;-258;-852;488;5;79
4547128;N;-8044;1860;-860;-54;57;-92
4547128;O;-7846;-1252;1864;-43;7;120
4555288;J;-8224;-1993;-2119;20;-541;-238
4555288;K;-8350;218;-1418;26;-76;55
4555288;L;-8158;520;3585;-826;-75;-308
4555288;M;-8232;-276;-796;488;10;54
4555288;N;-8044;1858;-806;-61;61;-100
4555288;O;-7822;-1310;1914;-60;12;132
4563448;J;-8204;-1072;-2447;22;-491;-188
4563448;K;-8330;222;-1304;49;-58;58
4563448;L;-8134;196;3723;-3432;-271;-1144
4563448;M;-8310;-338;-742;489;4;36
4563448;N;-8056;1844;-816;-70;59;-100
4563448;O;-7850;-1312;1896;-68;17;138
4571692;J;-8198;-1056;-2443;174;-459;-182
4571692;K;-8302;455;-2691;112;-66;8
4571692;L;-8110;-106;1617;-636;-23;-1240
4571692;M;-8322;-348;-654;479;-1;32
4571692;N;-8072;1846;-898;-73;62;-104
4571692;O;-7820;-1314;1920;-74;12;141
4579936;J;-8290;-956;-2287;186;-485;-180
