# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:44:30 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8238;-1126;-1414;30;14;-28
4464676;K;-8314;242;-1526;-22;18;33
4464676;L;-8094;212;1744;37;-64;51
4464676;M;-8250;110;-694;216;-54;-6
4464676;N;-8132;1856;-776;34;-8;-71
4464676;O;-7770;-1408;1760;99;-61;85
4472924;J;-8272;-1148;-1388;27;13;-31
4472924;K;-8310;298;-1454;-15;13;37
4472924;L;-8146;218;1650;40;-70;51
4472924;M;-8230;62;-732;205;-47;9
4472924;N;-8100;1798;-732;35;-11;-71
4472924;O;-7798;-1410;1732;100;-43;92
4481252;J;-8220;-1170;-1402;16;17;-29
4481252;K;-8342;290;-1454;-17;4;32
4481252;L;-8136;198;1606;48;-60;51
4481252;M;-8240;36;-636;191;-48;4
4481252;N;-8036;1834;-748;31;1;-74
4481252;O;-7886;-1414;1698;94;-19;100
4489584;J;-8212;-1130;-1494;25;12;-15
4489584;K;-8312;274;-1476;-13;3;39
4489584;L;-8132;198;1602;57;-61;51
4489584;M;-8206;50;-654;185;-42;4
4489584;N;-8090;1796;-784;36;0;-70
4489584;O;-7878;-1350;1776;93;4;115
4497744;J;-8282;-1226;-1424;20;9;-10
4497744;K;-8354;314;-1432;-12;3;31
4497744;L;-8164;232;1638;63;-62;54
4497744;M;-8244;46;-718;186;-43;1
4497744;N;-8114;1774;-766;32;-5;-67
4497744;O;-7872;-1390;1722;90;22;128
4505904;J;-8224;-1152;-1472;16;9;3
4505904;K;-8362;294;-1418;-17;7;26
4505904;L;-8090;252;1584;70;-63;55
4505904;M;-8234;22;-720;184;-41;-2
4505904;N;-8040;1842;-714;29;-3;-67
4505904;O;-7936;-1410;1722;82;40;137
4514148;J;-8196;-1140;-1530;12;10;-6
4514148;K;-8342;304;-1504;-15;8;24
4514148;L;-8104;316;1634;68;-58;55
4514148;M;-8290;-2;-714;181;-41;-4
4514148;N;-7998;1806;-780;22;0;-65
4514148;O;-7820;-1394;1846;83;50;147
4522308;J;-8226;-1134;-1484;33;-2;-9
4522308;K;-8396;268;-1372;-15;13;22
4522308;L;-8148;332;1614;68;-56;54
4522308;M;-8276;-18;-716;180;-39;-16
4522308;N;-8026;1860;-684;25;10;-60
4522308;O;-7926;-1468;1798;78;64;145
4530468;J;-8202;-1088;-1442;78;-5;-2
4530468;K;-8348;308;-1436;-18;6;19
4530468;L;-8184;358;1608;55;-46;50
4530468;M;-8240;-62;-702;185;-41;-5
