# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:; Wed Jun  8 11:27:58 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8316;1877;-4181;-119;417;-392
4464676;K;-8316;590;-1536;-31;-74;19
4464676;L;-8196;-794;526;-72;-196;88
4464676;M;-7974;2178;360;35;24;-87
4464676;N;-7650;550;-2624;-313;-7;-184
4464676;O;-7212;-1012;3586;-154;220;679
4473092;J;-8274;1507;-2079;-57;213;-156
4473092;K;-8372;576;-1394;-34;-69;18
4473092;L;-8262;-732;901;-56;-180;80
4473092;M;-8008;2144;296;52;23;-98
4473092;N;-7640;600;-2678;-311;-12;-183
4473092;O;-7196;-1166;3610;-193;238;731
4481252;J;-8304;1515;-2175;-7;205;-162
4481252;K;-8298;592;-1396;-21;-66;19
4481252;L;-8230;-692;849;-26;-192;72
4481252;M;-8024;2088;318;77;29;-93
4481252;N;-7734;570;-2718;-305;-10;-174
4481252;O;-7236;-1064;3676;-265;241;771
4489496;J;-8318;1539;-2015;17;205;-152
4489496;K;-8282;600;-1490;-16;-65;13
4489496;L;-8274;-656;675;-48;-448;84
4489496;M;-8068;2096;384;107;21;-93
4489496;N;-7690;614;-2602;-303;-15;-177
4489496;O;-7288;-1042;3844;-359;246;822
4497656;J;-8304;1427;-2183;49;211;-144
4497656;K;-8338;694;-1530;-28;-59;14
4497656;L;-8234;-648;829;-60;-180;84
4497656;M;-8104;2048;348;146;14;-85
4497656;N;-7698;586;-2640;-301;-16;-175
4497656;O;-7348;-1144;3788;-450;248;858
4505816;J;-8321;1567;-2135;95;207;-144
4505816;K;-8253;1227;-3123;-84;-118;26
4505816;L;-8260;-612;921;-118;-160;80
4505816;M;-8072;2100;364;183;16;-79
4505816;N;-7756;620;-2618;-297;-17;-170
4505816;O;-7300;-1176;3724;-489;247;893
4514148;J;-8292;1703;-2003;87;183;-136
4514148;K;-8386;590;-1608;-41;-55;23
4514148;L;-8200;-616;849;-16;-360;100
4514148;M;-8090;2074;356;205;10;-93
4514148;N;-7718;584;-2686;-297;-24;-167
4514148;O;-7324;-1302;3758;-507;245;913
4522308;J;-8241;1619;-2043;103;195;-138
4522308;K;-8376;570;-1430;-34;-57;19
4522308;L;-8250;-668;937;-44;-316;88
4522308;M;-8026;2200;386;206;10;-85
4522308;N;-7792;558;-2674;-303;-31;-166
4522308;O;-7236;-1304;3674;-495;258;939
4530552;J;-8209;1675;-2071;89;175;-126
