# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 12:04:05 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464848;J;-8470;-82;-781;61;65;-64
4464848;K;-7982;2654;246;4;27;5
4464848;L;-8220;-1366;376;464;-624;392
4464848;M;-8158;-1610;-494;220;-55;1
4464848;N;-8238;-858;1114;90;1;-81
4464848;O;-7804;-1574;2160;202;-9;34
4473092;J;-8514;-36;-835;31;39;-38
4473092;K;-8004;2668;282;2;21;9
4473092;L;-8154;-1372;396;172;-40;144
4473092;M;-8142;-1618;-502;226;-56;-3
4473092;N;-8224;-870;1140;84;-10;-76
4473092;O;-7774;-1524;2248;191;-6;38
4481336;J;-8388;-53;-821;137;89;-120
4481336;K;-7982;2664;306;2;26;6
4481336;L;-8136;-1348;324;168;-28;152
4481336;M;-8122;-1602;-466;225;-57;-4
4481336;N;-8262;-900;1070;88;-7;-79
4481336;O;-7822;-1544;2238;186;3;39
4489496;J;-8448;-12;-813;73;53;-52
4489496;K;-7988;2662;130;3;25;8
4489496;L;-8230;-1300;308;376;-600;416
4489496;M;-8092;-1638;-512;225;-59;-1
4489496;N;-8202;-924;1228;78;2;-78
4489496;O;-7756;-1518;2200;183;-3;42
4497656;J;-8478;-56;-719;21;31;-18
4497656;K;-8022;2702;228;5;22;8
4497656;L;-8142;-1290;274;146;-24;152
4497656;M;-8132;-1612;-494;222;-51;-5
4497656;N;-8258;-866;1134;73;2;-76
4497656;O;-7802;-1538;2220;173;2;40
4505816;J;-8424;-109;-675;19;19;-32
4505816;K;-7996;2668;318;1;14;2
4505816;L;-8218;-1256;569;156;-40;160
4505816;M;-8124;-1564;-526;228;-53;0
4505816;N;-8280;-874;1112;76;-5;-81
4505816;O;-7780;-1538;2174;159;0;42
4513976;J;-8404;-27;-1321;241;225;-288
4513976;K;-8010;2660;218;2;29;6
