# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 12:05:20 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8416;-288;-436;15;4;1
4464676;K;-8012;2416;284;-3;11;14
4464676;L;-8172;-1486;444;56;-63;67
4464676;M;-8148;-1488;-344;215;-49;0
4464676;N;-8200;-860;1314;31;16;-51
4464676;O;-7650;-1636;2080;-25;-50;75
4472924;J;-8454;-254;-526;11;14;-4
4472924;K;-8080;2380;280;-3;14;11
4472924;L;-8160;-1468;554;54;-68;66
4472924;M;-8214;-1494;-366;213;-49;-4
4472924;N;-8248;-874;1304;30;16;-48
4472924;O;-7634;-1628;2078;-32;-47;69
4481084;J;-8380;-240;-460;14;13;-12
4481084;K;-8032;2356;284;-6;14;12
4481084;L;-8134;-1520;466;61;-62;66
4481084;M;-8156;-1474;-374;211;-52;-10
4481084;N;-8222;-842;1314;36;13;-53
4481084;O;-7672;-1610;2020;-45;-42;70
4489244;J;-8466;-266;-498;15;15;-6
4489244;K;-8070;2392;342;-8;14;9
4489244;L;-8150;-1458;428;73;-71;57
4489244;M;-8170;-1444;-440;212;-50;-2
4489244;N;-8228;-842;1300;46;17;-49
4489244;O;-7706;-1610;2004;-57;-35;69
4497488;J;-8424;-286;-448;18;20;-21
4497488;K;-8088;2412;364;0;12;10
4497488;L;-8140;-1462;452;76;-68;56
4497488;M;-8210;-1402;-354;213;-54;4
4497488;N;-8216;-822;1312;42;9;-50
4497488;O;-7694;-1672;2170;-57;-32;71
4505648;J;-8404;-282;-526;15;17;-21
4505648;K;-8036;2406;318;-7;12;0
4505648;L;-8142;-1470;484;76;-63;60
4505648;M;-8166;-1408;-332;199;-50;-2
4505648;N;-8178;-786;1332;38;9;-55
4505648;O;-7692;-1650;2066;-61;-19;75
4513892;J;-8416;-280;-476;9;11;-23
4513892;K;-8120;2376;338;1;14;9
4513892;L;-8136;-1494;442;75;-66;59
4513892;M;-8216;-1420;-376;202;-47;5
4513892;N;-8170;-832;1286;38;-6;-62
4513892;O;-7708;-1694;2214;-55;-24;76
4522136;J;-8432;-296;-502;10;16;-24
4522136;K;-8112;2362;314;-4;12;6
4522136;L;-8114;-1438;522;70;-61;55
4522136;M;-8160;-1366;-324;202;-52;4
4522136;N;-8174;-880;1250;34;0;-62
4522136;O;-7738;-1692;2104;-46;-14;75
4530296;J;-8422;-310;-472;14;11;-29
4530296;K;-8038;2386;276;4;7;-1
4530296;L;-8186;-1386;546;70;-67;53
4530296;M;-8116;-1334;-332;203;-46;-2
4530296;N;-8204;-862;1210;39;5;-64
4530296;O;-7838;-1698;2210;-26;-15;66
4538456;J;-8442;-322;-528;8;6;-27
4538456;K;-8112;2342;236;-4;-1;4
