# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Thu Jun 16 13:31:33 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464848;J;-8370;-538;-816;-6;-20;-67
4464848;K;-8440;14;-822;-16;38;22
4464848;L;-8208;-540;562;-18;-125;71
4464848;M;-8348;-270;466;176;-24;-12
4464848;N;-7818;-526;3014;-37;-42;110
4464848;O;-6394;-3678;3756;-206;-138;29
4473092;J;-8382;-570;-800;0;-18;-64
4473092;K;-8432;34;-738;-5;47;27
4473092;L;-8238;-474;586;-12;-115;76
4473092;M;-8356;-260;490;172;-22;-12
4473092;N;-7852;-552;3016;-40;-36;109
4473092;O;-6428;-3768;3754;-234;-149;35
4481336;J;-8412;-558;-752;2;-16;-73
4481336;K;-8428;70;-774;-10;43;30
4481336;L;-8206;-550;598;-17;-115;87
4481336;M;-8374;-256;442;166;-19;-7
4481336;N;-7774;-544;3094;-29;-40;115
4481336;O;-6372;-3788;3690;-246;-159;51
4489668;J;-8390;-618;-794;-10;-13;-75
4489668;K;-8418;-4;-814;-14;50;31
4489668;L;-8190;-538;642;-24;-113;98
4489668;M;-8386;-218;444;157;-24;-2
4489668;N;-7806;-546;3022;-25;-37;111
4489668;O;-6384;-3886;3600;-262;-170;49
4497828;J;-8312;-586;-760;-12;-12;-72
4497828;K;-8456;44;-854;-12;46;36
4497828;L;-8194;-546;590;-27;-114;95
4497828;M;-8316;-220;416;158;-26;-9
4497828;N;-7840;-534;3032;-15;-38;107
4497828;O;-6418;-3792;3662;-262;-185;63
4506072;J;-8380;-616;-786;-13;-8;-76
4506072;K;-8478;38;-790;-7;45;37
4506072;L;-8204;-556;626;-26;-110;100
4506072;M;-8350;-208;448;154;-17;0
