# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Thu Jun 16 13:30:02 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8274;-266;-1288;11;-18;3
4464676;K;-8420;72;-1100;-26;45;87
4464676;L;-8296;-372;-36;73;-71;27
4464676;M;-8376;32;378;275;-89;73
4464676;N;-7718;-422;3400;194;59;-120
4464676;O;-7582;-20;3858;397;-65;-228
4472924;J;-8312;-292;-1336;10;-19;5
4472924;K;-8430;100;-1074;-25;41;91
4472924;L;-8224;-352;66;70;-72;23
4472924;M;-8390;38;372;260;-83;71
4472924;N;-7712;-492;3296;185;57;-109
4472924;O;-7512;-66;3814;388;-87;-218
4481252;J;-8320;-214;-1234;7;-20;5
4481252;K;-8436;42;-1130;-20;42;91
4481252;L;-8218;-334;22;48;-76;21
4481252;M;-8326;44;432;247;-76;67
4481252;N;-7690;-470;3322;185;61;-110
4481252;O;-7460;20;3754;354;-110;-208
4489496;J;-8268;-274;-1192;-4;-12;5
4489496;K;-8332;52;-1076;-26;39;88
4489496;L;-8196;-274;128;39;-77;19
4489496;M;-8364;74;430;238;-72;55
4489496;N;-7674;-462;3388;190;69;-110
4489496;O;-7370;20;3850;316;-124;-193
4497744;J;-8298;-174;-1184;-13;-7;-3
4497744;K;-8390;60;-1070;-22;38;88
4497744;L;-8220;-240;28;28;-76;26
4497744;M;-8366;82;410;235;-61;53
4497744;N;-7680;-494;3356;188;69;-98
4497744;O;-7384;110;3900;269;-153;-184
4505904;J;-8304;-182;-1280;-24;-7;-18
4505904;K;-8372;84;-984;-17;36;84
4505904;L;-8238;-232;78;28;-78;30
4505904;M;-8348;138;476;237;-62;59
4505904;N;-7628;-438;3384;190;75;-87
4505904;O;-7386;140;3834;220;-173;-172
4514316;J;-8324;-230;-1204;-17;-6;-24
4514316;K;-8366;88;-1188;-14;36;83
4514316;L;-8260;-250;36;31;-73;45
4514316;M;-8348;72;354;235;-66;62
