# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:; Tue Jun  7 11:13:36 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8280;-320;-1584;10;5;-8
4464676;K;-8456;-504;-448;-7;20;33
4464676;L;-7790;2606;-854;68;-64;83
4464676;M;-8282;-898;-224;216;-44;2
4464676;N;-8312;-404;928;62;20;-44
4464676;O;-7476;-3114;1740;15;-42;44
4472924;J;-8268;-376;-1686;10;7;-8
4472924;K;-8462;-510;-482;-12;16;25
4472924;L;-7762;2510;-862;70;-68;81
4472924;M;-8232;-852;-254;215;-45;9
4472924;N;-8344;-302;980;63;19;-48
4472924;O;-7454;-3114;1598;22;-41;47
4481084;J;-8244;-352;-1714;14;9;-3
4481084;K;-8458;-518;-404;-17;15;31
4481084;L;-7754;2592;-852;70;-65;78
4481084;M;-8254;-858;-310;214;-40;2
4481084;N;-8272;-324;936;66;15;-48
4481084;O;-7438;-3124;1706;28;-37;42
4489328;J;-8276;-356;-1596;13;3;-6
4489328;K;-8472;-484;-422;-10;14;27
4489328;L;-7814;2602;-958;59;-70;80
4489328;M;-8298;-872;-258;216;-39;12
4489328;N;-8328;-362;918;59;14;-50
4489328;O;-7444;-3142;1712;43;-27;40
4497488;J;-8208;-328;-1654;8;1;-5
4497488;K;-8446;-550;-474;-10;13;31
4497488;L;-7746;2622;-852;66;-59;84
4497488;M;-8322;-930;-252;214;-46;11
4497488;N;-8292;-312;908;57;18;-54
4497488;O;-7426;-3060;1758;45;-18;43
4505648;J;-8236;-334;-1692;11;6;-2
4505648;K;-8472;-484;-436;-9;12;32
4505648;L;-7780;2600;-872;65;-62;83
4505648;M;-8270;-914;-302;215;-37;-5
4505648;N;-8270;-348;938;62;18;-56
4505648;O;-7432;-3068;1696;60;-17;40
4513892;J;-8270;-330;-1780;-1;4;-5
4513892;K;-8422;-488;-444;-12;19;25
4513892;L;-7784;2630;-878;65;-64;82
4513892;M;-8300;-872;-310;218;-43;-1
4513892;N;-8312;-374;906;65;18;-47
4513892;O;-7406;-3094;1690;61;-11;37
4522052;J;-8168;-318;-1678;9;-1;-2
4522052;K;-8418;-542;-454;-7;20;32
4522052;L;-7792;2598;-818;63;-69;80
4522052;M;-8242;-932;-316;215;-42;-5
4522052;N;-8268;-290;898;57;18;-51
4522052;O;-7412;-3058;1684;64;-9;48
4530212;J;-8240;-354;-1592;1;2;1
4530212;K;-8440;-524;-482;-7;12;31
4530212;L;-7852;2628;-862;65;-69;76
4530212;M;-8256;-890;-246;215;-44;10
4530212;N;-8318;-314;916;56;18;-56
4530212;O;-7434;-3040;1674;65;-8;48
4538456;J;-8234;-362;-1706;11;0;-3
4538456;K;-8430;-596;-488;-8;11;33
4538456;L;-7786;2630;-856;61;-63;75
4538456;M;-8310;-932;-270;207;-49;-3
4538456;N;-8336;-332;880;52;16;-54
4538456;O;-7444;-3110;1642;67;-1;51
4546616;J;-8302;-350;-1696;3;2;-7
4546616;K;-8462;-564;-476;-5;14;30
4546616;L;-7730;2604;-820;58;-59;76
4546616;M;-8296;-924;-256;211;-44;3
4546616;N;-8332;-334;936;59;20;-51
4546616;O;-7440;-3042;1694;68;-10;56
4554864;J;-8252;-396;-1696;7;2;-9
4554864;K;-8448;-528;-482;-3;12;29
4554864;L;-7732;2686;-936;64;-64;67
4554864;M;-8230;-866;-268;212;-48;4
4554864;N;-8330;-358;924;56;14;-57
4554864;O;-7422;-3068;1760;63;-17;60
4563108;J;-8270;-358;-1612;-4;7;-3
4563108;K;-8450;-562;-462;-11;14;29
4563108;L;-7770;2608;-838;63;-63;70
4563108;M;-8286;-878;-324;211;-48;8
4563108;N;-8324;-350;962;48;15;-57
4563108;O;-7434;-3052;1712;52;-11;59
4571268;J;-8260;-318;-1668;5;7;-8
4571268;K;-8452;-548;-474;-9;10;28
4571268;L;-7782;2642;-902;61;-60;75
4571268;M;-8276;-910;-324;208;-45;7
4571268;N;-8342;-336;916;51;8;-55
4571268;O;-7400;-3014;1698;41;-17;65
4579596;J;-8238;-278;-1676;7;1;-3
4579596;K;-8450;-526;-468;-11;16;33
4579596;L;-7748;2656;-922;56;-61;70
4579596;M;-8296;-934;-236;208;-48;14
4579596;N;-8298;-384;1034;58;14;-54
4579596;O;-7416;-3120;1642;45;-21;71
4587756;J;-8288;-326;-1580;6;4;-5
