# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:29:06 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8390;834;364;15;7;-6
4464676;K;-7916;-2880;-378;-11;12;22
4464676;L;-8034;1844;-496;64;-58;87
4464676;M;-8298;-440;-380;206;-51;9
4464676;N;-8270;-98;-846;36;-4;-94
4464676;O;-7660;-3036;628;-18;-9;69
4472924;J;-8380;784;412;15;3;-12
4472924;K;-7960;-2872;-296;-8;11;20
4472924;L;-7994;1808;-542;64;-57;85
4472924;M;-8292;-454;-366;209;-44;2
4472924;N;-8256;-86;-814;39;-13;-93
4472924;O;-7652;-3056;664;-26;-9;73
4481084;J;-8376;802;394;16;8;-15
4481084;K;-7946;-2830;-362;-6;12;22
4481084;L;-8056;1772;-528;64;-58;83
4481084;M;-8296;-484;-462;202;-45;6
4481084;N;-8270;-100;-814;36;-11;-95
4481084;O;-7654;-3110;688;-30;-10;87
4489244;J;-8396;742;350;16;3;-13
4489244;K;-7990;-2818;-344;-11;9;20
4489244;L;-7974;1798;-552;64;-54;93
4489244;M;-8314;-400;-418;203;-47;8
4489244;N;-8302;-96;-782;37;-11;-91
4489244;O;-7658;-3110;664;-16;-15;89
4497404;J;-8380;732;342;13;5;-9
4497404;K;-7932;-2838;-266;-11;12;21
4497404;L;-8012;1810;-526;58;-61;85
4497404;M;-8260;-478;-462;206;-41;7
4497404;N;-8318;-72;-814;38;-10;-88
4497404;O;-7604;-3130;628;15;-18;92
4505648;J;-8424;750;380;12;0;-12
4505648;K;-7942;-2872;-284;-9;18;16
4505648;L;-8100;1838;-586;65;-60;82
4505648;M;-8288;-442;-466;206;-46;10
4505648;N;-8318;-110;-794;36;-9;-85
4505648;O;-7604;-3080;584;46;-19;89
4513892;J;-8368;766;362;10;4;-15
4513892;K;-7956;-2836;-318;-10;13;21
4513892;L;-8074;1794;-538;60;-61;84
4513892;M;-8324;-478;-414;209;-42;6
4513892;N;-8270;-86;-728;39;-13;-90
4513892;O;-7608;-3066;554;79;-19;98
4522136;J;-8330;750;376;11;6;-19
4522136;K;-7912;-2896;-308;-15;18;19
4522136;L;-8056;1816;-474;54;-59;92
4522136;M;-8338;-478;-452;213;-45;10
4522136;N;-8316;-68;-748;40;-4;-84
4522136;O;-7578;-3066;492;91;-13;98
4530384;J;-8406;754;470;13;3;-14
4530384;K;-7936;-2894;-310;-13;22;25
4530384;L;-8080;1788;-526;55;-60;92
4530384;M;-8240;-454;-448;209;-39;10
4530384;N;-8294;-94;-768;33;-6;-87
4530384;O;-7582;-3042;580;93;-13;99
4538544;J;-8384;754;438;13;4;-18
4538544;K;-7976;-2874;-422;-16;17;23
4538544;L;-8048;1724;-522;61;-60;84
4538544;M;-8296;-454;-462;220;-44;4
4538544;N;-8278;-90;-804;42;-4;-92
4538544;O;-7630;-2954;614;78;-14;99
4546788;J;-8378;750;390;11;6;-11
4546788;K;-7918;-2862;-364;-13;19;23
4546788;L;-8068;1740;-532;60;-61;88
4546788;M;-8320;-420;-464;215;-36;3
4546788;N;-8276;-112;-768;42;-8;-88
4546788;O;-7646;-2996;560;53;-11;106
