# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:31:03 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464764;J;-8370;780;476;10;8;-12
4464764;K;-7886;-2952;-182;-7;9;33
4464764;L;-8080;1618;-286;64;-56;84
4464764;M;-8340;-406;-184;217;-47;7
4464764;N;-8290;-176;-744;37;0;-93
4464764;O;-7594;-3092;758;32;-18;71
4472924;J;-8390;814;504;8;10;-8
4472924;K;-7830;-2948;-192;-8;10;32
4472924;L;-8104;1594;-268;62;-54;79
4472924;M;-8356;-450;-206;219;-43;-3
4472924;N;-8292;-184;-686;43;-3;-94
4472924;O;-7582;-3068;650;32;-23;85
4481084;J;-8360;786;614;10;10;-8
4481084;K;-7892;-2976;-264;-4;12;28
4481084;L;-8096;1610;-270;61;-60;79
4481084;M;-8340;-450;-222;213;-45;-7
4481084;N;-8288;-146;-788;48;2;-95
4481084;O;-7610;-3026;762;36;-25;82
4489244;J;-8394;800;482;13;9;-10
4489244;K;-7872;-2940;-56;0;11;32
4489244;L;-8114;1568;-304;67;-64;83
4489244;M;-8350;-446;-124;212;-44;6
4489244;N;-8236;-114;-656;43;3;-97
4489244;O;-7618;-3038;718;37;-29;82
4497404;J;-8322;818;474;17;8;-9
4497404;K;-7870;-2990;-190;-9;11;29
4497404;L;-8130;1608;-370;67;-59;80
4497404;M;-8306;-410;-78;215;-41;-1
4497404;N;-8302;-208;-718;43;2;-97
4497404;O;-7596;-3090;690;29;-29;78
4505564;J;-8410;776;560;13;10;-15
4505564;K;-7846;-2986;-184;-12;6;27
4505564;L;-8092;1554;-248;73;-55;80
4505564;M;-8390;-400;-178;214;-48;6
4505564;N;-8302;-158;-738;49;-1;-96
4505564;O;-7616;-3052;752;37;-25;82
4513724;J;-8458;836;538;17;9;-10
4513724;K;-7820;-3012;-200;-10;6;22
4513724;L;-8064;1640;-318;69;-60;85
4513724;M;-8352;-344;-160;217;-61;4
4513724;N;-8240;-132;-738;45;4;-100
4513724;O;-7572;-3086;760;41;-23;75
4521884;J;-8338;794;496;17;4;-9
4521884;K;-7940;-2802;-136;-5;9;16
4521884;L;-8054;1578;-210;65;-65;82
4521884;M;-8318;-314;-140;220;-50;17
4521884;N;-8268;-204;-882;50;11;-95
4521884;O;-7610;-3060;688;32;-23;75
4530212;J;-8416;772;510;12;9;-3
4530212;K;-7918;-2898;-230;-14;2;14
4530212;L;-8096;1598;-238;65;-53;83
4530212;M;-8366;-360;-262;209;-54;-4
4530212;N;-8294;-150;-752;51;11;-102
4530212;O;-7556;-3018;706;34;-15;73
4538456;J;-8408;782;490;16;5;-8
4538456;K;-7852;-3046;-142;-8;4;3
4538456;L;-8114;1572;-306;65;-49;86
4538456;M;-8370;-376;-140;205;-53;7
4538456;N;-8264;-148;-684;42;4;-100
4538456;O;-7634;-3064;656;38;-18;72
4546616;J;-8344;824;472;13;12;-11
4546616;K;-7960;-2958;-144;-4;8;22
4546616;L;-8144;1572;-244;56;-63;87
4546616;M;-8338;-430;-276;213;-42;9
4546616;N;-8248;-166;-756;42;12;-101
4546616;O;-7592;-3100;744;35;-16;67
4554776;J;-8416;836;538;15;3;-8
4554776;K;-7892;-2998;-138;3;7;13
4554776;L;-8076;1646;-184;60;-56;80
4554776;M;-8314;-490;-258;227;-49;2
4554776;N;-8328;-128;-758;37;6;-97
4554776;O;-7626;-3046;724;41;-12;69
4562936;J;-8406;740;504;15;16;-4
4562936;K;-7922;-2956;-218;-6;5;14
4562936;L;-8092;1594;-274;61;-54;79
4562936;M;-8302;-514;-192;222;-49;2
4562936;N;-8278;-182;-762;39;9;-95
4562936;O;-7570;-3092;694;43;-10;68
4571096;J;-8380;748;522;7;7;-3
4571096;K;-7834;-2990;-128;-5;13;18
4571096;L;-8152;1612;-322;59;-53;83
4571096;M;-8298;-508;-218;221;-45;4
4571096;N;-8320;-132;-784;42;5;-92
4571096;O;-7614;-3124;710;49;-10;69
4579256;J;-8374;824;508;12;8;-13
4579256;K;-7892;-2970;-158;-13;10;22
4579256;L;-8088;1630;-268;58;-56;85
4579256;M;-8342;-468;-232;214;-38;-2
4579256;N;-8278;-184;-778;39;12;-88
4579256;O;-7588;-3116;724;48;-12;70
4587416;J;-8408;836;540;13;9;1
4587416;K;-7854;-2998;-244;-8;12;24
4587416;L;-8060;1564;-338;63;-59;88
4587416;M;-8366;-474;-232;219;-47;2
4587416;N;-8304;-174;-856;40;12;-92
4587416;O;-7606;-3038;744;58;-11;68
4595576;J;-8394;816;546;14;11;-2
4595576;K;-7910;-2992;-42;-4;10;23
4595576;L;-8044;1614;-308;64;-58;87
4595576;M;-8362;-450;-192;209;-42;1
4595576;N;-8262;-174;-746;40;11;-92
4595576;O;-7550;-3088;680;55;-12;73
4603736;J;-8380;862;524;14;10;-3
4603736;K;-7850;-2996;-160;-6;12;25
4603736;L;-8072;1602;-288;65;-57;79
4603736;M;-8296;-414;-240;206;-40;-9
4603736;N;-8254;-170;-810;34;9;-98
4603736;O;-7552;-3064;766;47;-5;72
4611896;J;-8406;782;492;13;3;-6
4611896;K;-7854;-2968;-176;-6;5;24
4611896;L;-8150;1618;-272;62;-58;82
4611896;M;-8308;-426;-208;215;-40;5
4611896;N;-8276;-254;-742;35;2;-95
4611896;O;-7622;-3128;686;44;-11;59
4620056;J;-8352;814;532;7;6;-5
4620056;K;-7888;-3010;-220;-3;10;29
4620056;L;-8176;1578;-386;61;-55;81
4620056;M;-8314;-414;-162;216;-47;-5
4620056;N;-8276;-214;-782;44;4;-88
4620056;O;-7638;-3042;728;43;-11;62
4628304;J;-8368;846;564;18;9;-5
4628304;K;-7924;-2972;-168;-4;9;25
4628304;L;-8100;1608;-296;64;-51;83
4628304;M;-8334;-446;-192;216;-44;5
4628304;N;-8298;-176;-738;42;8;-95
4628304;O;-7578;-3070;668;37;-11;56
