# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 11:10:35 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency:;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8289;908;1005;15;15;-60
4464676;K;-8140;-1960;-620;-27;23;43
4464676;L;-8210;1771;-947;238;-108;208
4464676;M;-8318;-462;1514;173;-38;3
4464676;N;-8296;168;892;24;77;-58
4464676;O;-7714;-2030;1834;-36;43;111
4473008;J;-8353;1072;1049;29;15;-56
4473008;K;-8230;-1956;-640;-18;22;40
4473008;L;-8166;1695;-1005;472;-144;984
4473008;M;-8362;-430;1420;173;-35;-5
4473008;N;-8312;224;794;24;81;-65
4473008;O;-7812;-2024;1876;-35;48;102
4481252;J;-8397;952;1029;53;33;-104
4481252;K;-8264;-1972;-604;-23;25;39
4481252;L;-8222;1783;-973;508;-248;928
4481252;M;-8292;-498;1526;191;-36;-5
4481252;N;-8326;226;798;30;79;-58
4481252;O;-7766;-2004;1932;-41;47;99
4489496;J;-8341;1032;1061;65;21;-104
4489496;K;-8234;-1982;-560;-11;27;40
4489496;L;-8248;1771;-951;520;-184;928
4489496;M;-8262;-474;1486;191;-41;-6
4489496;N;-8306;176;820;33;78;-65
4489496;O;-7738;-2038;1838;-52;52;99
4497656;J;-8413;964;953;30;-7;-54
4497656;K;-8190;-2032;-582;-16;17;43
4497656;L;-8208;1759;-991;260;-260;464
4497656;M;-8294;-404;1458;196;-35;-5
4497656;N;-8370;222;868;36;82;-61
4497656;O;-7712;-2014;1884;-49;45;89
4505816;J;-8373;1012;1105;69;1;-68
4505816;K;-8162;-2012;-604;-14;21;44
4505816;L;-8296;1853;-2221;488;-224;880
4505816;M;-8306;-402;1444;202;-46;-6
4505816;N;-8312;168;826;34;86;-63
4505816;O;-7746;-1996;1876;-45;44;94
4513976;J;-8313;992;957;19;7;-38
4513976;K;-8166;-1954;-604;-12;18;42
4513976;L;-8244;2013;-1925;456;-264;456
4513976;M;-8304;-408;1438;210;-41;3
4513976;N;-8276;212;814;37;84;-67
4513976;O;-7732;-2028;1898;-49;46;85
4522136;J;-8329;956;857;60;-19;-96
4522136;K;-8196;-1966;-636;-12;27;39
4522136;L;-8248;1861;-2205;424;-248;888
4522136;M;-8278;-384;1470;208;-40;-1
4522136;N;-8342;182;880;40;83;-63
4522136;O;-7788;-2102;1994;-46;44;83
4530384;J;-8337;1116;1105;68;-11;-92
4530384;K;-8166;-1936;-552;-4;26;37
4530384;L;-8170;1911;-931;192;-122;152
4530384;M;-8278;-382;1452;214;-40;6
4530384;N;-8302;218;836;46;82;-66
4530384;O;-7768;-2016;1990;-46;40;82
4538544;J;-8393;952;1065;37;9;-84
4538544;K;-8232;-1978;-550;-10;20;39
4538544;L;-8186;2037;-1941;488;-496;824
4538544;M;-8314;-348;1540;211;-38;-1
4538544;N;-8286;200;764;50;83;-63
4538544;O;-7764;-2026;1998;-38;40;84
4546704;J;-8309;1060;877;13;1;-48
4546704;K;-8254;-1950;-684;-11;20;38
4546704;L;-8200;1951;-1075;440;-528;816
4546704;M;-8310;-338;1468;212;-42;4
4546704;N;-8264;190;806;50;77;-66
4546704;O;-7774;-2008;1984;-32;40;78
4554864;J;-8289;924;905;14;-3;-40
4554864;K;-8218;-1930;-606;-8;22;34
4554864;L;-8172;2005;-2269;400;-456;800
4554864;M;-8286;-408;1486;215;-40;5
4554864;N;-8292;224;824;53;69;-68
4554864;O;-7684;-2036;1962;-31;31;85
4563024;J;-8468;908;949;13;5;-108
4563024;K;-8148;-1974;-614;-14;20;32
4563024;L;-8192;1957;-2077;408;-552;800
4563024;M;-8308;-390;1458;218;-41;1
4563024;N;-8286;162;810;59;74;-68
4563024;O;-7728;-2026;2014;-31;39;82
4571184;J;-8460;976;961;7;3;-50
4571184;K;-8202;-1948;-606;-9;20;25
4571184;L;-8176;1955;-1087;160;-122;136
4571184;M;-8292;-386;1458;219;-37;0
4571184;N;-8304;218;722;60;70;-65
4571184;O;-7710;-1978;2004;-30;29;79
4579348;J;-8369;1044;865;21;13;-120
4579348;K;-8234;-1972;-620;-9;22;31
4579348;L;-8200;1797;-1933;336;-488;840
4579348;M;-8338;-444;1484;222;-28;5
4579348;N;-8310;154;836;60;68;-73
4579348;O;-7690;-1996;1934;-29;30;84
4587504;J;-8441;924;989;65;1;-132
4587504;K;-8230;-1984;-654;0;22;27
4587504;L;-8186;2043;-1107;368;-560;736
4587504;M;-8320;-450;1424;225;-26;1
4587504;N;-8300;190;780;72;62;-69
4587504;O;-7714;-2050;1944;-33;29;88
4595664;J;-8357;1060;993;9;9;-136
4595664;K;-8154;-2026;-564;-6;23;30
4595664;L;-8148;1931;-1143;152;-8;404
4595664;M;-8326;-462;1478;235;-39;7
4595664;N;-8304;242;848;73;59;-71
4595664;O;-7728;-2046;1990;-32;34;86
4603824;J;-8381;1012;1021;17;3;-68
4603824;K;-8108;-1958;-672;-4;22;41
4603824;L;-8170;2071;-1151;392;-528;856
4603824;M;-8370;-514;1454;236;-33;-3
4603824;N;-8330;246;822;73;61;-69
4603824;O;-7768;-2026;2038;-28;38;87
4611984;J;-8452;932;913;-3;25;-140
4611984;K;-8180;-1946;-620;-11;25;36
4611984;L;-8172;2143;-1219;416;-520;848
4611984;M;-8302;-454;1440;237;-38;4
4611984;N;-8238;188;892;72;59;-80
4611984;O;-7794;-2126;1926;-16;38;89
4620312;J;-8425;1040;789;-17;29;-92
4620312;K;-8194;-1982;-640;0;25;36
4620312;L;-8224;2159;-1247;176;-124;220
4620312;M;-8386;-488;1382;241;-34;-8
4620312;N;-8288;198;774;75;55;-74
4620312;O;-7758;-2094;2000;-2;45;92
4628644;J;-8353;1064;1049;1;13;-236
4628644;K;-8256;-1972;-594;-8;23;38
4628644;L;-8206;2099;-1211;160;-118;172
4628644;M;-8374;-482;1440;240;-31;-14
4628644;N;-8284;198;770;82;54;-78
4628644;O;-7786;-2124;1958;15;49;89
4636804;J;-8289;904;1041;-39;41;-236
4636804;K;-8200;-1990;-554;-2;27;42
4636804;L;-8138;2227;-1143;336;-456;880
4636804;M;-8328;-502;1462;243;-31;-13
4636804;N;-8288;242;838;92;51;-72
4636804;O;-7776;-2116;1936;32;59;89
4645048;J;-8321;996;961;-7;65;-224
4645048;K;-8202;-1978;-552;0;29;44
4645048;L;-8176;2119;-1227;126;-86;204
4645048;M;-8336;-398;1484;248;-29;-4
4645048;N;-8304;266;750;94;47;-74
4645048;O;-7766;-2116;2012;54;58;84
4653208;J;-8341;1024;993;-47;41;-288
4653208;K;-8176;-1968;-660;2;27;39
4653208;L;-8156;2095;-1187;296;-416;928
4653208;M;-8300;-432;1472;253;-30;-5
4653208;N;-8276;248;734;100;46;-76
4653208;O;-7754;-2122;2002;67;63;88
4661368;J;-8389;996;1029;-19;45;-148
4661368;K;-8242;-1982;-664;2;28;44
4661368;L;-8162;1971;-1083;124;-106;196
4661368;M;-8302;-396;1450;255;-35;2
4661368;N;-8274;248;754;102;46;-73
4661368;O;-7756;-2072;1956;77;61;86
4669612;J;-8458;1020;977;-41;35;-138
4669612;K;-8190;-1982;-696;19;22;40
4669612;L;-8250;1987;-1147;136;-88;208
4669612;M;-8240;-368;1548;268;-39;-1
4669612;N;-8308;244;774;103;52;-69
4669612;O;-7786;-2116;1914;80;72;85
4677772;J;-8377;1044;909;-57;37;-148
4677772;K;-8218;-1926;-774;26;27;38
4677772;L;-8222;1979;-1131;280;-416;856
4677772;M;-8330;-354;1400;284;-46;1
4677772;N;-8292;280;786;116;38;-70
4677772;O;-7738;-2112;1940;93;70;85
4685932;J;-8285;1004;1065;-47;153;-576
4685932;K;-8198;-1922;-624;69;40;56
4685932;L;-8230;2011;-987;112;-96;196
4685932;M;-8314;-308;1442;266;-38;-1
4685932;N;-8272;216;758;114;25;-74
4685932;O;-7712;-2130;1958;111;77;82
4694092;J;-8389;924;1097;-33;21;-136
4694092;K;-8196;-1980;-534;35;21;30
4694092;L;-8230;1983;-943;240;-168;848
4694092;M;-8342;-330;1454;260;-46;-1
4694092;N;-8308;296;772;128;31;-66
4694092;O;-7702;-2112;2014;121;72;87
4702252;J;-8349;924;901;-69;41;-164
4702252;K;-8142;-1910;-550;20;24;25
4702252;L;-8162;2045;-1965;264;-424;816
4702252;M;-8308;-328;1554;240;-32;4
4702252;N;-8322;264;760;131;34;-69
4702252;O;-7720;-2142;1950;127;72;83
4710496;J;-8472;908;1017;-35;105;-304
4710496;K;-8162;-1944;-526;8;30;22
4710496;L;-8166;1901;-2157;272;-448;840
4710496;M;-8272;-396;1562;235;-41;-3
4710496;N;-8326;236;770;135;31;-70
4710496;O;-7708;-2092;2008;134;66;83
4718656;J;-8361;992;1671;-119;217;-576
4718656;K;-8172;-1928;-624;25;58;22
4718656;L;-8194;1925;-1709;368;-464;816
4718656;M;-8320;-356;1492;238;-47;9
4718656;N;-8284;266;714;144;31;-74
4718656;O;-7708;-2068;1976;133;67;80
4726816;J;-8289;1016;2139;-83;57;-272
4726816;K;-8274;-1920;-670;16;28;8
4726816;L;-8206;1751;-941;312;-416;840
4726816;M;-8354;-372;1484;249;-41;17
4726816;N;-8286;278;758;161;35;-77
4726816;O;-7724;-2062;1906;126;55;70
4735064;J;-8486;928;965;-5;39;-138
4735064;K;-8230;-1962;-728;39;16;9
4735064;L;-8206;1901;-1509;648;-424;856
4735064;M;-8286;-352;1474;254;-41;12
4735064;N;-8290;230;698;162;36;-79
4735064;O;-7730;-2046;2018;127;49;66
4743224;J;-8397;896;2091;-67;77;-232
4743224;K;-8248;-1904;-652;32;15;7
4743224;L;-8182;1751;-863;170;-104;140
4743224;M;-8296;-332;1400;251;-40;10
4743224;N;-8330;228;760;165;36;-76
4743224;O;-7718;-2020;1922;117;43;62
4751384;J;-8373;840;2119;-95;201;-440
4751384;K;-8178;-1918;-616;23;20;7
4751384;L;-8264;1735;-893;392;-360;824
4751384;M;-8322;-304;1436;253;-39;12
4751384;N;-8316;222;758;173;31;-80
4751384;O;-7674;-2078;1910;109;26;54
4759544;J;-8273;1096;897;21;81;-212
4759544;K;-8196;-1958;-644;25;19;-2
4759544;L;-8188;1797;-1401;752;-392;800
4759544;M;-8288;-366;1436;255;-43;8
4759544;N;-8256;242;734;168;29;-71
4759544;O;-7696;-2094;1956;111;16;45
4767704;J;-8285;752;1009;-17;33;-92
4767704;K;-8190;-1934;-564;30;8;-3
4767704;L;-8204;1623;-619;202;-110;148
4767704;M;-8310;-386;1498;261;-50;14
4767704;N;-8294;204;750;174;29;-75
4767704;O;-7654;-2046;1906;108;9;38
4775952;J;-8397;944;2019;37;37;-132
4775952;K;-8198;-1924;-590;28;12;0
4775952;L;-8194;1603;-995;216;-100;148
4775952;M;-8340;-450;1450;255;-48;7
4775952;N;-8280;248;760;172;34;-81
4775952;O;-7728;-2046;1930;100;8;27
4784108;J;-8341;808;2003;41;5;-136
4784108;K;-8170;-1948;-516;25;16;-6
4784108;L;-8230;1647;-909;428;-224;704
4784108;M;-8326;-450;1474;254;-50;14
4784108;N;-8244;210;710;171;34;-80
4784108;O;-7640;-2014;1902;94;-4;20
4792268;J;-8470;792;1851;21;33;-100
4792268;K;-8190;-1940;-530;20;13;-1
4792268;L;-8184;1531;-789;432;-168;768
4792268;M;-8318;-422;1470;248;-46;13
4792268;N;-8332;230;696;173;34;-83
4792268;O;-7672;-1986;1860;80;-5;14
4800428;J;-8401;864;2307;52;-15;-48
4800428;K;-8162;-1940;-516;27;21;-4
4800428;L;-8180;1527;-915;222;-122;112
4800428;M;-8314;-388;1408;248;-57;10
4800428;N;-8280;248;738;160;37;-89
4800428;O;-7640;-1996;1756;68;-10;3
4808588;J;-8309;968;1979;76;-23;-56
