# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 11:14:36 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency:;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8452;402;364;18;-9;-17
4464676;K;-8104;-1978;-790;-13;30;20
4464676;L;-8184;-716;-646;87;-74;74
4464676;M;-8342;-416;1096;210;-38;0
4464676;N;-8306;266;1102;47;8;-70
4464676;O;-7704;-2224;1696;12;8;17
4473008;J;-8408;412;284;14;-1;-19
4473008;K;-8174;-2004;-828;-15;22;18
4473008;L;-8204;-708;-572;91;-75;76
4473008;M;-8344;-404;1052;211;-32;3
4473008;N;-8322;256;1054;41;11;-70
4473008;O;-7714;-2168;1824;20;21;25
4481168;J;-8456;402;280;7;-3;-19
4481168;K;-8170;-2004;-754;-14;22;16
4481168;L;-8208;-716;-586;91;-72;76
4481168;M;-8374;-420;1068;204;-32;10
4481168;N;-8304;274;1126;44;5;-72
4481168;O;-7746;-2192;1808;42;28;46
4489328;J;-8438;366;294;20;-1;-16
4489328;K;-8190;-2028;-744;-15;22;24
4489328;L;-8254;-686;-584;89;-75;70
4489328;M;-8278;-454;1106;210;-37;6
4489328;N;-8310;310;1040;50;9;-69
4489328;O;-7742;-2138;1764;65;40;55
4497488;J;-8478;382;342;13;-1;-15
4497488;K;-8114;-2002;-780;-20;24;18
4497488;L;-8240;-684;-548;91;-69;68
4497488;M;-8332;-414;1032;208;-34;8
4497488;N;-8340;300;1054;55;11;-70
4497488;O;-7740;-2178;1800;77;45;68
4505648;J;-8480;392;260;18;-2;-8
4505648;K;-8240;-1968;-792;-10;21;24
4505648;L;-8264;-694;-646;91;-67;74
4505648;M;-8352;-426;990;215;-37;9
4505648;N;-8284;286;1162;55;13;-64
4505648;O;-7746;-2130;1776;98;51;80
4513812;J;-8404;418;280;16;2;-17
4513812;K;-8166;-1994;-844;-10;15;17
4513812;L;-8204;-696;-598;89;-62;64
4513812;M;-8388;-418;1030;215;-34;6
4513812;N;-8268;334;1116;63;11;-64
4513812;O;-7748;-2170;1822;103;58;92
4522052;J;-8416;392;318;23;-2;-14
4522052;K;-8204;-1966;-838;-8;23;14
4522052;L;-8230;-748;-602;92;-68;67
4522052;M;-8318;-440;1044;217;-41;13
4522052;N;-8302;280;1082;60;16;-63
4522052;O;-7826;-2210;1866;111;64;99
4530212;J;-8402;398;274;10;-3;-12
4530212;K;-8164;-2060;-798;-5;21;18
4530212;L;-8274;-734;-562;72;-63;65
4530212;M;-8350;-498;1040;214;-36;6
4530212;N;-8248;310;1114;70;15;-65
4530212;O;-7804;-2168;1792;107;60;107
4538544;J;-8472;376;270;23;3;-12
4538544;K;-8144;-1994;-746;-6;16;25
4538544;L;-8226;-666;-586;78;-58;71
4538544;M;-8366;-452;1038;229;-33;9
4538544;N;-8286;304;1100;72;12;-71
4538544;O;-7828;-2168;1834;113;58;117
4546704;J;-8424;414;326;14;6;-19
4546704;K;-8148;-2008;-838;-4;21;23
4546704;L;-8218;-668;-610;76;-63;68
4546704;M;-8352;-466;1116;232;-42;-2
4546704;N;-8260;304;1014;75;6;-59
4546704;O;-7780;-2144;1802;108;60;121
4554864;J;-8352;442;272;26;4;-14
4554864;K;-8184;-2050;-762;-10;19;24
4554864;L;-8216;-710;-620;69;-64;63
4554864;M;-8376;-464;1026;232;-43;10
4554864;N;-8312;220;990;73;9;-68
4554864;O;-7846;-2200;1802;105;49;128
4563108;J;-8460;404;314;7;5;-19
4563108;K;-8154;-2036;-864;-1;12;30
4563108;L;-8228;-670;-658;71;-65;66
4563108;M;-8356;-402;1020;237;-39;8
4563108;N;-8288;282;1024;74;3;-61
4563108;O;-7768;-2206;1898;101;45;128
4571436;J;-8374;382;316;23;7;-21
4571436;K;-8204;-2042;-840;-3;13;31
4571436;L;-8276;-706;-632;74;-57;64
4571436;M;-8360;-396;1114;241;-43;7
4571436;N;-8332;262;1062;82;6;-66
4571436;O;-7792;-2158;1794;93;40;121
4579596;J;-8482;338;362;24;8;-16
4579596;K;-8190;-2020;-802;-2;12;31
4579596;L;-8252;-696;-600;68;-53;56
