# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Thu Jun 16 12:58:53 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464764;J;-8474;530;762;-11;68;40
4464764;K;-8316;-1086;574;-13;-13;30
4464764;L;-8112;2587;-1011;264;-432;600
4464764;M;-8240;30;576;230;-79;-1
4464764;N;-8266;544;-838;32;-27;-52
4464764;O;-7418;-2424;2660;-13;60;169
4472924;J;-8382;1016;1629;29;64;48
4472924;K;-8318;-1068;608;-7;0;40
4472924;L;-8144;2839;-1019;336;-376;584
4472924;M;-8310;10;670;225;-69;9
4472924;N;-8250;576;-930;33;-31;-56
4472924;O;-7444;-2456;2698;-16;61;170
4481084;J;-8365;1064;1625;73;60;8
4481084;K;-8342;-1070;622;-12;-2;34
4481084;L;-8200;3019;-1063;344;-368;600
4481084;M;-8284;18;654;217;-68;11
4481084;N;-8252;536;-854;45;-30;-53
4481084;O;-7338;-2358;2588;-20;52;163
4489244;J;-8297;1136;1605;31;45;-8
4489244;K;-8368;-1078;722;-15;0;30
4489244;L;-8112;3087;-1115;504;-408;600
4489244;M;-8324;-12;686;212;-59;16
4489244;N;-8318;578;-852;50;-30;-53
4489244;O;-7442;-2440;2610;-18;52;146
4497404;J;-8325;1056;1763;73;77;-64
4497404;K;-8356;-1078;698;-9;6;19
4497404;L;-8140;3055;-1179;388;-144;512
4497404;M;-8306;26;616;211;-47;13
4497404;N;-8258;564;-840;71;-24;-48
4497404;O;-7398;-2394;2634;-32;46;148
4505732;J;-8305;1192;1651;65;69;-88
4505732;K;-8370;-1036;594;-9;4;16
4505732;L;-8096;3083;-1047;188;-108;44
4505732;M;-8366;-70;564;212;-43;4
4505732;N;-8270;552;-914;82;-15;-49
4505732;O;-7458;-2388;2586;-34;38;144
4513892;J;-8269;1184;1643;97;177;-272
4513892;K;-8334;-1042;622;-6;5;6
4513892;L;-8098;3147;-1063;408;-208;560
4513892;M;-8406;-88;532;208;-38;5
4513892;N;-8260;544;-882;87;-14;-50
4513892;O;-7416;-2444;2572;-47;27;137
4522052;J;-8445;1200;1577;37;93;-152
4522052;K;-8376;-1038;682;-2;-3;0
4522052;L;-8082;2995;-1115;396;-248;528
4522052;M;-8358;-130;494;220;-44;7
4522052;N;-8244;488;-942;89;-12;-52
4522052;O;-7460;-2464;2624;-43;18;139
4530384;J;-8273;1084;1627;29;101;-184
4530384;K;-8414;-1062;618;4;1;-3
4530384;L;-8160;1434;-943;464;-560;512
4530384;M;-8382;-188;518;228;-44;9
4530384;N;-8260;542;-810;85;-12;-50
4530384;O;-7442;-2424;2602;-53;13;143
4538544;J;-8429;1104;1601;17;81;-176
4538544;K;-8344;-1080;658;0;2;0
4538544;L;-8094;1412;-999;496;-528;504
4538544;M;-8426;-220;534;230;-53;1
4538544;N;-8258;528;-906;72;-14;-57
4538544;O;-7420;-2440;2704;-62;8;142
4546704;J;-8321;1160;1633;-3;109;-184
4546704;K;-8314;-1116;630;-1;-2;7
4546704;L;-8126;1304;-859;184;-28;264
4546704;M;-8368;-246;500;226;-65;3
4546704;N;-8236;602;-954;55;-13;-55
4546704;O;-7530;-2456;2560;-79;-2;148
4554864;J;-8312;1112;1597;1;45;-92
4554864;K;-8364;-1178;654;2;-2;16
4554864;L;-8092;1315;-957;456;-560;584
4554864;M;-8356;-260;526;234;-71;-4
4554864;N;-8202;592;-888;48;-11;-61
4554864;O;-7494;-2480;2576;-76;0;145
4563024;J;-8381;992;1633;33;69;-156
4563024;K;-8342;-1130;654;-2;1;30
4563024;L;-8170;1240;-679;368;-464;552
4563024;M;-8322;-188;548;233;-73;-10
4563024;N;-8234;706;-820;41;-16;-56
4563024;O;-7480;-2476;2468;-77;-3;147
4571268;J;-8197;876;1541;21;69;-152
4571268;K;-8308;-1152;654;-7;-6;30
4571268;L;-8208;2527;-861;240;-232;520
4571268;M;-8364;-254;596;232;-79;-11
4571268;N;-8186;708;-904;27;-17;-56
4571268;O;-7478;-2542;2574;-73;-7;142
4579512;J;-8401;952;1587;137;121;-208
4579512;K;-8316;-1184;724;-12;0;42
4579512;L;-8198;2479;-773;336;-520;512
4579512;M;-8344;-200;644;222;-70;-14
4579512;N;-8230;716;-902;17;-18;-60
4579512;O;-7422;-2528;2638;-61;-8;130
4587672;J;-8285;1020;1667;185;105;-88
4587672;K;-8320;-1134;680;-7;2;47
4587672;L;-8170;2323;-831;112;-52;200
4587672;M;-8324;-154;672;223;-61;-13
4587672;N;-8236;690;-890;14;-18;-54
4587672;O;-7316;-2508;2592;-54;-6;129
4595832;J;-8229;996;1609;57;15;-28
4595832;K;-8358;-1134;710;-9;11;47
4595832;L;-8188;2501;-1685;216;-284;160
4595832;M;-8312;-86;704;225;-63;-9
4595832;N;-8274;674;-910;14;-12;-56
