# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Thu Jun 16 13:01:28 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
0;J;-8188;-1280;-2567;-76;-115;-484
4464676;J;-8428;600;624;19;3;50
4464676;K;-8386;-972;262;-7;3;27
4464676;L;-8278;456;-658;93;-45;127
4464676;M;-8346;-224;-44;189;-28;-14
4464676;N;-8196;436;-770;64;-6;-55
4464676;O;-7402;-2860;2220;66;-21;48
4472924;J;-8400;602;540;21;-10;56
4472924;K;-8404;-990;226;-1;8;30
4472924;L;-8304;582;-704;82;-54;129
4472924;M;-8330;-178;-12;206;-41;-20
4472924;N;-8244;524;-800;59;-5;-51
4472924;O;-7330;-2776;2194;80;-10;48
4481084;J;-8416;588;588;14;-10;68
4481084;K;-8360;-934;206;7;4;33
4481084;L;-8258;628;-680;61;-62;120
4481084;M;-8232;-154;-12;228;-37;-13
4481084;N;-8222;476;-806;68;1;-45
4481084;O;-7316;-2804;2328;81;-1;49
4489328;J;-8394;552;616;28;-7;70
4489328;K;-8362;-958;282;3;8;29
4489328;L;-8262;670;-730;43;-71;120
4489328;M;-8276;-110;8;242;-50;1
4489328;N;-8178;460;-834;82;-6;-47
4489328;O;-7384;-2792;2278;72;9;53
4497488;J;-8450;634;536;38;-5;71
4497488;K;-8398;-990;248;2;0;23
4497488;L;-8194;662;-678;45;-68;109
4497488;M;-8316;-86;14;254;-53;6
4497488;N;-8142;442;-794;93;-6;-38
4497488;O;-7430;-2780;2278;60;10;58
4505648;J;-8334;708;674;37;-6;71
4505648;K;-8348;-938;204;5;1;16
4505648;L;-8184;700;-670;36;-71;114
4505648;M;-8260;-114;-4;263;-52;7
4505648;N;-8234;476;-752;104;3;-40
4505648;O;-7322;-2824;2252;40;11;62
4513892;J;-8390;656;694;23;-6;64
4513892;K;-8448;-980;186;10;-2;15
4513892;L;-8202;738;-748;38;-62;123
4513892;M;-8370;-196;-2;272;-48;7
4513892;N;-8260;462;-810;111;6;-41
4513892;O;-7338;-2788;2304;26;17;68
4522052;J;-8408;662;688;29;4;65
4522052;K;-8408;-960;244;13;1;9
4522052;L;-8160;772;-824;46;-58;128
4522052;M;-8360;-118;14;273;-52;9
4522052;N;-8266;434;-800;129;18;-33
4522052;O;-7466;-2816;2284;17;20;73
4530212;J;-8352;720;674;31;-1;67
4530212;K;-8396;-972;168;9;0;11
4530212;L;-8222;722;-770;57;-52;133
4530212;M;-8356;-252;-58;267;-52;7
4530212;N;-8304;362;-830;130;22;-30
4530212;O;-7388;-2824;2240;13;27;70
4538456;J;-8356;630;708;31;8;56
4538456;K;-8396;-990;208;11;-8;16
4538456;L;-8250;726;-824;79;-38;126
4538456;M;-8330;-248;8;260;-50;2
4538456;N;-8294;462;-786;118;27;-39
4538456;O;-7332;-2856;2362;14;23;76
4546616;J;-8328;676;708;32;15;43
4546616;K;-8402;-1012;320;7;-1;19
4546616;L;-8216;706;-866;96;-33;131
4546616;M;-8356;-200;-114;254;-50;-4
4546616;N;-8282;480;-752;126;38;-42
4546616;O;-7388;-2820;2246;26;33;74
4554864;J;-8380;666;626;37;5;36
4554864;K;-8384;-1070;268;-3;-1;14
4554864;L;-8212;814;-878;112;-33;125
4554864;M;-8340;-180;-14;247;-57;-2
4554864;N;-8250;476;-778;118;37;-42
4554864;O;-7384;-2804;2292;23;31;76
4563276;J;-8416;760;610;30;11;30
4563276;K;-8384;-1028;280;-2;-8;19
4563276;L;-8238;826;-756;125;-31;122
4563276;M;-8314;-132;-6;242;-56;-8
4563276;N;-8262;460;-778;126;46;-46
4563276;O;-7398;-2876;2402;43;28;74
4571524;J;-8406;716;700;33;11;21
4571524;K;-8444;-1018;280;-2;-2;23
4571524;L;-8188;814;-916;135;-30;119
4571524;M;-8356;-54;16;233;-61;-7
4571524;N;-8266;548;-754;128;45;-44
4571524;O;-7408;-2818;2334;49;34;67
4579684;J;-8378;746;672;35;16;11
4579684;K;-8434;-998;244;-7;-2;17
4579684;L;-8170;706;-806;148;-40;121
4579684;M;-8352;-22;24;225;-61;-4
4579684;N;-8242;530;-830;127;42;-51
4579684;O;-7354;-2804;2344;50;41;65
4587928;J;-8428;694;718;37;18;0
4587928;K;-8400;-934;242;-8;-2;14
4587928;L;-8162;664;-816;158;-34;124
4587928;M;-8282;-32;-12;232;-59;6
4587928;N;-8260;588;-836;132;53;-53
4587928;O;-7360;-2812;2366;48;43;71
4596088;J;-8384;706;640;25;13;-4
4596088;K;-8428;-948;176;-4;-6;7
4596088;L;-8170;750;-722;165;-45;119
4596088;M;-8314;-38;54;230;-57;12
4596088;N;-8326;644;-806;132;52;-51
4596088;O;-7324;-2778;2416;55;46;64
4604248;J;-8406;672;702;22;22;-3
4604248;K;-8374;-940;212;1;-6;0
4604248;L;-8230;746;-734;160;-44;113
4604248;M;-8314;-80;52;235;-58;12
4604248;N;-8312;590;-862;120;58;-48
4604248;O;-7368;-2824;2380;64;51;66
4612408;J;-8410;628;710;30;15;-8
4612408;K;-8398;-1034;242;-9;-4;-9
4612408;L;-8264;688;-748;148;-54;104
4612408;M;-8342;-180;4;241;-46;17
4612408;N;-8288;574;-818;128;54;-45
4612408;O;-7336;-2804;2352;69;54;63
4620652;J;-8380;638;610;32;21;-6
4620652;K;-8430;-1028;246;-7;-2;-6
4620652;L;-8238;608;-742;154;-55;96
4620652;M;-8352;-164;-8;248;-54;21
4620652;N;-8264;570;-828;117;54;-47
4620652;O;-7324;-2870;2336;70;53;77
4628812;J;-8344;692;616;36;20;0
4628812;K;-8396;-1000;254;-10;-2;-8
4628812;L;-8206;582;-620;148;-46;93
4628812;M;-8352;-190;-4;249;-54;18
4628812;N;-8236;544;-746;101;49;-46
4628812;O;-7398;-2830;2416;77;60;81
4636972;J;-8350;660;680;38;17;-1
4636972;K;-8462;-1010;246;-2;-3;-6
4636972;L;-8236;616;-748;150;-44;92
4636972;M;-8368;-228;12;244;-49;10
4636972;N;-8266;558;-832;102;45;-51
4636972;O;-7368;-2850;2400;87;67;96
4645132;J;-8432;636;570;31;18;8
4645132;K;-8430;-998;378;-11;-5;-6
4645132;L;-8198;600;-718;136;-50;90
4645132;M;-8288;-288;-14;235;-54;7
4645132;N;-8310;550;-812;87;42;-47
4645132;O;-7388;-2840;2400;89;71;108
4653292;J;-8388;662;546;30;10;11
4653292;K;-8386;-982;332;-12;-5;4
4653292;L;-8196;626;-752;121;-47;82
4653292;M;-8366;-284;34;228;-46;4
4653292;N;-8306;508;-794;73;33;-57
4653292;O;-7308;-2770;2414;92;75;118
4661452;J;-8438;602;594;30;11;22
4661452;K;-8408;-1022;274;-8;0;6
4661452;L;-8184;730;-716;100;-47;76
4661452;M;-8340;-374;-28;218;-52;-6
4661452;N;-8336;520;-794;64;28;-59
4661452;O;-7306;-2822;2502;102;78;127
4669612;J;-8380;642;622;25;18;22
4669612;K;-8354;-1028;266;-12;-1;14
4669612;L;-8182;764;-724;82;-41;70
4669612;M;-8352;-356;2;211;-53;-2
4669612;N;-8282;536;-828;56;29;-60
4669612;O;-7344;-2836;2540;103;70;138
4677772;J;-8412;680;598;25;14;35
4677772;K;-8408;-1042;192;-12;-8;19
4677772;L;-8234;804;-794;78;-45;74
4677772;M;-8320;-292;-26;205;-52;-6
4677772;N;-8246;534;-752;63;16;-55
4677772;O;-7384;-2788;2484;107;63;137
4686104;J;-8432;726;682;24;17;30
4686104;K;-8368;-1078;206;-14;-9;23
4686104;L;-8196;794;-758;69;-37;70
4686104;M;-8332;-248;0;198;-55;-11
4686104;N;-8258;524;-716;59;19;-48
4686104;O;-7392;-2802;2446;105;57;129
4694264;J;-8430;738;644;13;12;24
4694264;K;-8376;-1044;300;-13;1;32
4694264;L;-8322;782;-806;52;-40;75
4694264;M;-8338;-188;58;195;-52;-3
4694264;N;-8286;578;-760;61;22;-47
4694264;O;-7400;-2866;2444;103;51;117
4702424;J;-8374;690;614;14;12;6
4702424;K;-8386;-1068;264;-14;-6;35
4702424;L;-8236;778;-844;55;-40;74
4702424;M;-8292;-172;80;202;-53;0
