# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Fri Jun 17 13:07:19 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8412;-442;240;8;10;-6
4464676;K;-8458;604;-442;-6;2;9
4464676;L;-8184;250;1360;59;-66;63
4464676;M;-8330;-336;-402;220;-49;-31
4464676;N;-8348;-436;168;49;15;-60
4464676;O;-8116;-338;1406;13;0;93
4473008;J;-8392;-456;146;9;8;0
4473008;K;-8442;694;-470;-13;7;16
4473008;L;-8214;246;1430;60;-56;63
4473008;M;-8286;-322;-374;212;-46;-37
4473008;N;-8356;-418;240;37;12;-59
4473008;O;-8104;-396;1386;24;7;93
4481168;J;-8476;-450;122;10;11;-6
4481168;K;-8424;648;-482;-12;4;16
4481168;L;-8228;288;1358;52;-54;58
4481168;M;-8258;-358;-466;210;-48;-33
4481168;N;-8340;-472;220;35;11;-62
4481168;O;-8082;-290;1366;23;-2;94
4489412;J;-8410;-460;182;9;14;-8
4489412;K;-8392;664;-408;-6;2;21
4489412;L;-8142;316;1360;61;-63;60
4489412;M;-8248;-362;-500;224;-48;-34
4489412;N;-8312;-396;300;34;13;-64
4489412;O;-8116;-322;1440;34;5;99
4497572;J;-8450;-426;182;8;10;-6
4497572;K;-8436;650;-546;-12;-3;23
4497572;L;-8170;264;1418;54;-61;61
4497572;M;-8264;-404;-488;222;-43;-39
4497572;N;-8302;-416;178;40;10;-57
4497572;O;-8060;-322;1434;34;5;100
4505732;J;-8462;-434;160;2;3;-16
4505732;K;-8430;638;-538;-15;2;27
4505732;L;-8134;346;1354;50;-66;60
4505732;M;-8260;-408;-410;221;-46;-36
4505732;N;-8362;-374;148;36;13;-58
4505732;O;-8060;-332;1380;38;7;103
4513892;J;-8448;-464;142;10;8;-6
4513892;K;-8442;622;-462;-17;-4;25
4513892;L;-8214;302;1424;56;-60;68
4513892;M;-8262;-448;-458;219;-42;-42
4513892;N;-8326;-398;204;41;12;-66
4513892;O;-8046;-294;1390;39;5;103
4522136;J;-8358;-464;184;3;3;3
4522136;K;-8426;640;-480;-15;5;26
4522136;L;-8158;292;1342;62;-60;61
4522136;M;-8258;-376;-402;226;-45;-35
4522136;N;-8306;-458;206;39;8;-58
4522136;O;-8026;-356;1462;41;4;102
4530296;J;-8490;-452;126;11;4;-3
4530296;K;-8436;634;-522;-15;-1;24
4530296;L;-8162;314;1402;55;-57;64
4530296;M;-8264;-430;-546;222;-45;-36
4530296;N;-8320;-406;222;40;10;-64
4530296;O;-8060;-368;1560;39;-1;100
4538456;J;-8432;-430;190;12;8;-2
4538456;K;-8392;652;-516;-4;3;23
4538456;L;-8238;316;1406;62;-62;64
4538456;M;-8250;-414;-430;218;-52;-37
4538456;N;-8334;-436;174;43;11;-57
4538456;O;-8062;-334;1414;38;5;95
4546616;J;-8414;-464;138;12;1;0
4546616;K;-8452;690;-528;-8;4;34
4546616;L;-8190;308;1354;63;-62;56
4546616;M;-8262;-400;-414;219;-43;-41
4546616;N;-8324;-434;208;42;14;-60
4546616;O;-8060;-330;1418;29;0;98
4554776;J;-8412;-516;184;5;5;-4
4554776;K;-8388;638;-490;-9;4;35
4554776;L;-8154;328;1410;61;-63;61
4554776;M;-8260;-452;-496;216;-48;-36
4554776;N;-8324;-424;142;35;7;-58
4554776;O;-8026;-302;1474;27;-1;93
4562936;J;-8408;-444;124;17;-1;4
4562936;K;-8414;726;-520;-9;-3;28
4562936;L;-8190;356;1404;65;-56;58
4562936;M;-8272;-462;-438;218;-48;-29
4562936;N;-8314;-390;206;31;3;-57
4562936;O;-8076;-314;1474;26;-6;93
4571096;J;-8448;-466;152;13;3;1
4571096;K;-8480;642;-458;-9;11;27
4571096;L;-8208;264;1394;61;-54;60
4571096;M;-8276;-454;-496;211;-46;-38
4571096;N;-8326;-428;182;30;2;-59
4571096;O;-8090;-270;1464;26;-2;99
4579256;J;-8414;-418;168;11;4;6
4579256;K;-8378;656;-472;3;11;33
4579256;L;-8176;308;1342;58;-60;59
4579256;M;-8256;-438;-424;213;-38;-42
4579256;N;-8312;-400;142;39;12;-59
4579256;O;-8090;-362;1446;25;-10;100
4587416;J;-8408;-410;198;10;2;1
4587416;K;-8414;666;-492;-1;13;27
4587416;L;-8176;260;1402;55;-59;60
4587416;M;-8286;-460;-474;217;-39;-42
4587416;N;-8294;-374;188;45;10;-64
4587416;O;-8108;-270;1438;32;-16;105
4595576;J;-8384;-478;196;4;5;5
4595576;K;-8402;638;-502;-4;8;35
4595576;L;-8164;280;1276;54;-58;59
4595576;M;-8240;-460;-520;215;-44;-38
4595576;N;-8352;-376;134;37;14;-57
4595576;O;-8080;-312;1482;26;-19;109
4603824;J;-8404;-424;106;8;-6;0
4603824;K;-8402;704;-374;-6;7;34
4603824;L;-8148;300;1356;124;-122;124
4603824;M;-8252;-464;-526;221;-47;-42
4603824;N;-8352;-392;216;43;12;-56
4603824;O;-8122;-320;1476;24;-23;105
4611984;J;-8420;-434;164;19;-3;1
4611984;K;-8416;626;-468;-3;9;32
4611984;L;-8158;356;1376;68;-63;64
4611984;M;-8320;-490;-440;222;-44;-32
4611984;N;-8330;-364;240;36;7;-61
4611984;O;-8078;-356;1384;23;-19;111
4620228;J;-8486;-464;124;12;2;1
4620228;K;-8416;660;-490;-3;6;28
4620228;L;-8186;314;1380;146;-114;126
4620228;M;-8328;-478;-440;225;-45;-41
4620228;N;-8352;-424;206;39;11;-56
4620228;O;-8110;-352;1440;17;-15;114
4628388;J;-8414;-456;102;12;9;3
4628388;K;-8360;656;-526;-1;11;31
4628388;L;-8166;290;1354;78;-60;61
4628388;M;-8246;-462;-454;231;-45;-45
4628388;N;-8298;-434;186;35;11;-62
4628388;O;-8074;-326;1398;14;-22;113
4636548;J;-8488;-450;120;11;7;-9
4636548;K;-8386;666;-536;-5;8;21
4636548;L;-8166;294;1480;74;-60;67
4636548;M;-8232;-446;-482;225;-46;-43
4636548;N;-8336;-424;242;38;15;-62
4636548;O;-8086;-338;1496;12;-22;115
4644708;J;-8412;-386;182;18;1;10
4644708;K;-8438;698;-558;-1;7;24
4644708;L;-8192;306;1324;72;-61;69
4644708;M;-8278;-396;-452;225;-46;-39
4644708;N;-8360;-398;158;30;3;-59
4644708;O;-8062;-312;1472;11;-23;113
4652868;J;-8476;-434;170;15;-2;1
