# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Fri Jun 17 13:08:53 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8456;-238;46;19;2;-6
4464676;K;-8464;280;-322;55;-4;32
4464676;L;-8076;874;1544;80;-58;61
4464676;M;-8244;274;-620;241;-22;-31
4464676;N;-8314;-432;248;34;13;-64
4464676;O;-8060;-390;1422;-7;-37;111
4472924;J;-8442;-276;-94;14;0;-4
4472924;K;-8398;322;-324;60;-7;29
4472924;L;-8128;886;1556;76;-56;61
4472924;M;-8274;318;-656;238;-37;-28
4472924;N;-8302;-400;266;34;8;-59
4472924;O;-8078;-332;1366;-5;-37;112
4481084;J;-8476;-286;20;17;4;-8
4481084;K;-8470;366;-296;68;-7;27
4481084;L;-8208;864;1554;69;-56;58
4481084;M;-8266;244;-652;249;-39;-25
4481084;N;-8322;-384;292;42;5;-60
4481084;O;-8094;-364;1364;8;-39;108
4489328;J;-8436;-248;-38;2;4;-6
4489328;K;-8474;318;-274;72;-10;30
4489328;L;-8136;902;1500;69;-59;64
4489328;M;-8244;252;-656;241;-42;-30
4489328;N;-8330;-426;324;44;11;-56
4489328;O;-8102;-404;1378;15;-37;102
4497488;J;-8394;-214;-36;14;3;-14
4497488;K;-8376;338;-314;80;-16;31
4497488;L;-8092;932;1480;67;-64;64
4497488;M;-8278;314;-620;246;-40;-32
4497488;N;-8300;-390;366;44;10;-58
4497488;O;-8072;-394;1488;24;-36;106
4505732;J;-8408;-278;-36;11;3;-16
4505732;K;-8444;346;-368;91;-7;32
4505732;L;-8136;862;1572;62;-56;68
4505732;M;-8266;308;-608;242;-43;-34
4505732;N;-8360;-418;248;51;18;-57
4505732;O;-8072;-340;1412;27;-35;108
4513976;J;-8398;-298;-8;5;5;-14
